pose_id,card_id,x_mm,y_mm,yaw_deg,class_hint,condition
P0001,11,440.0,53.3,-82.1,carton,dim
P0002,14,830.0,53.3,-86.4,plastic_box,side_light
P0003,6,440.0,-53.3,15.7,wood_box,novel_background
P0004,17,570.0,160.0,-49.6,metal_box,dim
P0005,17,570.0,160.0,-42.5,carton,side_light
P0006,16,440.0,160.0,-14.4,plastic_box,novel_background
P0007,13,700.0,53.3,82.0,wood_box,dim
P0008,10,960.0,-53.3,70.5,metal_box,side_light
P0009,4,830.0,-160.0,-39.9,carton,novel_background
P0010,6,440.0,-53.3,-14.0,plastic_box,dim
P0011,10,960.0,-53.3,-34.4,wood_box,side_light
P0012,1,440.0,-160.0,81.3,metal_box,novel_background
P0013,1,440.0,-160.0,6.3,carton,dim
P0014,17,570.0,160.0,-2.6,plastic_box,side_light
P0015,17,570.0,160.0,16.8,wood_box,novel_background
P0016,19,830.0,160.0,79.7,metal_box,dim
P0017,19,830.0,160.0,-83.9,carton,side_light
P0018,20,960.0,160.0,-68.7,plastic_box,novel_background
P0019,18,700.0,160.0,-67.3,wood_box,dim
P0020,16,440.0,160.0,-28.5,metal_box,side_light
P0021,17,570.0,160.0,9.2,carton,novel_background
P0022,7,570.0,-53.3,-80.9,plastic_box,dim
P0023,14,830.0,53.3,10.0,wood_box,side_light
P0024,10,960.0,-53.3,-68.5,metal_box,novel_background
P0025,11,440.0,53.3,0.8,carton,dim
P0026,7,570.0,-53.3,-35.3,plastic_box,side_light
P0027,12,570.0,53.3,-15.4,wood_box,novel_background
P0028,9,830.0,-53.3,-73.2,metal_box,dim
P0029,14,830.0,53.3,-76.7,carton,side_light
P0030,12,570.0,53.3,14.5,plastic_box,novel_background
P0031,17,570.0,160.0,7.0,wood_box,dim
P0032,2,570.0,-160.0,63.1,metal_box,side_light
P0033,5,960.0,-160.0,-75.1,carton,novel_background
P0034,6,440.0,-53.3,-32.3,plastic_box,dim
P0035,5,960.0,-160.0,20.2,wood_box,side_light
P0036,9,830.0,-53.3,-62.7,metal_box,novel_background
P0037,13,700.0,53.3,61.8,carton,dim
P0038,1,440.0,-160.0,-8.1,plastic_box,side_light
P0039,18,700.0,160.0,54.2,wood_box,novel_background
P0040,12,570.0,53.3,47.4,metal_box,dim
P0041,3,700.0,-160.0,-32.0,carton,side_light
P0042,18,700.0,160.0,-55.1,plastic_box,novel_background
P0043,4,830.0,-160.0,-18.7,wood_box,dim
P0044,1,440.0,-160.0,19.2,metal_box,side_light
P0045,16,440.0,160.0,68.2,carton,novel_background
P0046,12,570.0,53.3,59.0,plastic_box,dim
P0047,14,830.0,53.3,-67.9,wood_box,side_light
P0048,10,960.0,-53.3,0.1,metal_box,novel_background
P0049,17,570.0,160.0,68.6,carton,dim
P0050,19,830.0,160.0,31.3,plastic_box,side_light
P0051,10,960.0,-53.3,59.2,wood_box,novel_background
P0052,14,830.0,53.3,33.7,metal_box,dim
P0053,9,830.0,-53.3,-17.7,carton,side_light
P0054,13,700.0,53.3,-18.1,plastic_box,novel_background
P0055,20,960.0,160.0,68.7,wood_box,dim
P0056,10,960.0,-53.3,25.5,metal_box,side_light
P0057,19,830.0,160.0,0.5,carton,novel_background
P0058,17,570.0,160.0,6.6,plastic_box,dim
P0059,11,440.0,53.3,35.0,wood_box,side_light
P0060,14,830.0,53.3,-50.5,metal_box,novel_background
P0061,6,440.0,-53.3,-49.6,carton,dim
P0062,19,830.0,160.0,28.5,plastic_box,side_light
P0063,13,700.0,53.3,-39.3,wood_box,novel_background
P0064,8,700.0,-53.3,88.8,metal_box,dim
P0065,6,440.0,-53.3,-39.0,carton,side_light
P0066,14,830.0,53.3,40.9,plastic_box,novel_background
P0067,11,440.0,53.3,-24.7,wood_box,dim
P0068,16,440.0,160.0,78.0,metal_box,side_light
P0069,16,440.0,160.0,-42.2,carton,novel_background
P0070,20,960.0,160.0,41.5,plastic_box,dim
P0071,8,700.0,-53.3,-50.7,wood_box,side_light
P0072,5,960.0,-160.0,49.1,metal_box,novel_background
P0073,17,570.0,160.0,-0.7,carton,dim
P0074,19,830.0,160.0,-33.5,plastic_box,side_light
P0075,15,960.0,53.3,-8.3,wood_box,novel_background
P0076,6,440.0,-53.3,25.3,metal_box,dim
P0077,4,830.0,-160.0,44.6,carton,side_light
P0078,19,830.0,160.0,68.3,plastic_box,novel_background
P0079,15,960.0,53.3,-12.5,wood_box,dim
P0080,16,440.0,160.0,81.6,metal_box,side_light
P0081,12,570.0,53.3,-8.4,carton,novel_background
P0082,13,700.0,53.3,32.1,plastic_box,dim
P0083,4,830.0,-160.0,12.8,wood_box,side_light
P0084,16,440.0,160.0,-3.0,metal_box,novel_background
P0085,4,830.0,-160.0,1.4,carton,dim
P0086,19,830.0,160.0,6.8,plastic_box,side_light
P0087,19,830.0,160.0,83.0,wood_box,novel_background
P0088,19,830.0,160.0,27.3,metal_box,dim
P0089,16,440.0,160.0,-64.0,carton,side_light
P0090,9,830.0,-53.3,-72.1,plastic_box,novel_background
P0091,18,700.0,160.0,-88.2,wood_box,dim
P0092,7,570.0,-53.3,62.7,metal_box,side_light
P0093,8,700.0,-53.3,-61.3,carton,novel_background
P0094,5,960.0,-160.0,-1.4,plastic_box,dim
P0095,1,440.0,-160.0,-82.7,wood_box,side_light
P0096,13,700.0,53.3,-67.1,metal_box,novel_background
P0097,10,960.0,-53.3,19.8,carton,dim
P0098,20,960.0,160.0,77.9,plastic_box,side_light
P0099,14,830.0,53.3,54.1,wood_box,novel_background
P0100,5,960.0,-160.0,-63.7,metal_box,dim
P0101,18,700.0,160.0,54.8,carton,side_light
P0102,13,700.0,53.3,-59.8,plastic_box,novel_background
P0103,15,960.0,53.3,26.4,wood_box,dim
P0104,2,570.0,-160.0,-3.8,metal_box,side_light
P0105,8,700.0,-53.3,34.9,carton,novel_background
P0106,11,440.0,53.3,62.5,plastic_box,dim
P0107,16,440.0,160.0,59.6,wood_box,side_light
P0108,13,700.0,53.3,85.3,metal_box,novel_background
P0109,4,830.0,-160.0,-19.3,carton,dim
P0110,20,960.0,160.0,-46.5,plastic_box,side_light
P0111,5,960.0,-160.0,-30.5,wood_box,novel_background
P0112,18,700.0,160.0,55.1,metal_box,dim
P0113,15,960.0,53.3,-58.5,carton,side_light
P0114,5,960.0,-160.0,-11.9,plastic_box,novel_background
P0115,19,830.0,160.0,-75.3,wood_box,dim
P0116,8,700.0,-53.3,82.5,metal_box,side_light
P0117,4,830.0,-160.0,-69.2,carton,novel_background
P0118,7,570.0,-53.3,-45.6,plastic_box,dim
P0119,9,830.0,-53.3,11.0,wood_box,side_light
P0120,2,570.0,-160.0,52.9,metal_box,novel_background
P0121,1,440.0,-160.0,-18.1,carton,dim
P0122,14,830.0,53.3,51.3,plastic_box,side_light
P0123,20,960.0,160.0,-88.8,wood_box,novel_background
P0124,9,830.0,-53.3,-16.6,metal_box,dim
P0125,18,700.0,160.0,-63.4,carton,side_light
P0126,3,700.0,-160.0,-64.5,plastic_box,novel_background
P0127,11,440.0,53.3,-30.6,wood_box,dim
P0128,6,440.0,-53.3,14.5,metal_box,side_light
P0129,8,700.0,-53.3,15.8,carton,novel_background
P0130,19,830.0,160.0,61.8,plastic_box,dim
P0131,17,570.0,160.0,4.8,wood_box,side_light
P0132,20,960.0,160.0,-71.6,metal_box,novel_background
P0133,15,960.0,53.3,61.7,carton,dim
P0134,1,440.0,-160.0,24.0,plastic_box,side_light
P0135,7,570.0,-53.3,41.4,wood_box,novel_background
P0136,10,960.0,-53.3,-89.4,metal_box,dim
P0137,18,700.0,160.0,39.7,carton,side_light
P0138,18,700.0,160.0,7.2,plastic_box,novel_background
P0139,9,830.0,-53.3,16.8,wood_box,dim
P0140,14,830.0,53.3,-9.7,metal_box,side_light
P0141,2,570.0,-160.0,-88.8,carton,novel_background
P0142,10,960.0,-53.3,27.9,plastic_box,dim
P0143,15,960.0,53.3,-11.7,wood_box,side_light
P0144,20,960.0,160.0,-67.2,metal_box,novel_background
P0145,2,570.0,-160.0,-10.3,carton,dim
P0146,13,700.0,53.3,-60.3,plastic_box,side_light
P0147,18,700.0,160.0,-63.8,wood_box,novel_background
P0148,10,960.0,-53.3,57.5,metal_box,dim
