pose_id,card_id,x_mm,y_mm,yaw_deg,class_hint,condition,stack_on
P0001,11,575.0,20.0,-80.0,carton,novel_background_dim,plastic_box
P0002,14,575.0,80.0,-85.0,plastic_box,novel_background_dim,
P0003,6,625.0,-100.0,15.0,wood_box,novel_background_dim,
P0004,18,625.0,140.0,-50.0,metal_box,novel_background_dim,
P0005,18,625.0,140.0,-45.0,inox_box,novel_background_dim,
P0006,16,525.0,140.0,-15.0,inox_box,novel_background_dim,plastic_box
P0007,14,575.0,80.0,80.0,inox_box,novel_background_dim,
P0008,10,525.0,20.0,70.0,inox_box,novel_background_dim,
P0009,4,525.0,-100.0,-40.0,carton,novel_background_dim,
P0010,6,625.0,-100.0,-15.0,plastic_box,novel_background_dim,
P0011,10,525.0,20.0,-35.0,wood_box,novel_background_dim,metal_box
P0012,1,525.0,-160.0,80.0,metal_box,novel_background_dim,
P0013,1,525.0,-160.0,5.0,inox_box,novel_background_dim,
P0014,18,625.0,140.0,-5.0,inox_box,novel_background_dim,
P0015,18,625.0,140.0,15.0,inox_box,novel_background_dim,
P0016,20,575.0,200.0,80.0,inox_box,novel_background_dim,metal_box
P0017,20,575.0,200.0,-85.0,carton,novel_background_dim,
P0018,21,625.0,200.0,-70.0,plastic_box,novel_background_dim,
P0019,19,525.0,200.0,-65.0,wood_box,novel_background_dim,
P0020,16,525.0,140.0,-30.0,metal_box,novel_background_dim,
P0021,18,625.0,140.0,10.0,inox_box,novel_background_dim,carton
P0022,7,525.0,-40.0,-80.0,inox_box,novel_background_dim,
P0023,15,625.0,80.0,10.0,inox_box,novel_background_dim,
P0024,10,525.0,20.0,-70.0,inox_box,novel_background_dim,
P0025,11,575.0,20.0,0.0,carton,novel_background_dim,
P0026,8,575.0,-40.0,-35.0,plastic_box,novel_background_dim,wood_box
P0027,12,625.0,20.0,-15.0,wood_box,novel_background_dim,
P0028,9,625.0,-40.0,-75.0,metal_box,novel_background_dim,
P0029,15,625.0,80.0,-75.0,inox_box,novel_background_dim,
P0030,13,525.0,80.0,15.0,inox_box,novel_background_dim,
P0031,17,575.0,140.0,5.0,inox_box,novel_background_dim,wood_box
P0032,2,575.0,-160.0,65.0,inox_box,novel_background_dim,
P0033,6,625.0,-100.0,-75.0,carton,novel_background_dim,
P0034,7,525.0,-40.0,-30.0,plastic_box,novel_background_dim,
P0035,5,575.0,-100.0,20.0,wood_box,novel_background_dim,
P0036,9,625.0,-40.0,-65.0,metal_box,novel_background_dim,inox_box
P0037,14,575.0,80.0,60.0,inox_box,novel_background_dim,
P0038,1,525.0,-160.0,-10.0,inox_box,novel_background_dim,
P0039,19,525.0,200.0,55.0,inox_box,novel_background_dim,
P0040,13,525.0,80.0,45.0,inox_box,novel_background_dim,
P0041,3,625.0,-160.0,-30.0,carton,novel_background_dim,
P0042,19,525.0,200.0,-55.0,plastic_box,novel_background_dim,wood_box
P0043,4,525.0,-100.0,-20.0,wood_box,novel_background_dim,
P0044,1,525.0,-160.0,20.0,metal_box,novel_background_dim,
P0045,16,525.0,140.0,70.0,inox_box,novel_background_dim,
P0046,12,625.0,20.0,60.0,inox_box,novel_background_dim,
P0047,15,625.0,80.0,-70.0,inox_box,novel_background_dim,wood_box
P0048,11,575.0,20.0,0.0,inox_box,novel_background_dim,
P0049,18,625.0,140.0,70.0,carton,novel_background_dim,
P0050,20,575.0,200.0,30.0,plastic_box,novel_background_dim,
P0051,10,525.0,20.0,60.0,wood_box,novel_background_dim,
P0052,14,575.0,80.0,35.0,metal_box,novel_background_dim,inox_box
P0053,9,625.0,-40.0,-20.0,inox_box,novel_background_dim,
P0054,14,575.0,80.0,-20.0,inox_box,novel_background_dim,
P0055,21,625.0,200.0,70.0,inox_box,novel_background_dim,
P0056,11,575.0,20.0,25.0,inox_box,novel_background_dim,
P0057,20,575.0,200.0,0.0,carton,novel_background_dim,plastic_box
P0058,18,625.0,140.0,5.0,plastic_box,novel_background_dim,
P0059,12,625.0,20.0,35.0,wood_box,novel_background_dim,
P0060,15,625.0,80.0,-50.0,metal_box,novel_background_dim,
P0061,7,525.0,-40.0,-50.0,inox_box,novel_background_dim,
P0062,20,575.0,200.0,30.0,inox_box,novel_background_dim,plastic_box
P0063,14,575.0,80.0,-40.0,inox_box,novel_background_dim,
P0064,8,575.0,-40.0,90.0,inox_box,novel_background_dim,
P0065,6,625.0,-100.0,-40.0,carton,novel_background_dim,
P0066,15,625.0,80.0,40.0,plastic_box,novel_background_dim,
P0067,11,575.0,20.0,-25.0,wood_box,novel_background_dim,metal_box
P0068,16,525.0,140.0,80.0,metal_box,novel_background_dim,
P0069,17,575.0,140.0,-40.0,inox_box,novel_background_dim,
P0070,21,625.0,200.0,40.0,inox_box,novel_background_dim,
P0071,8,575.0,-40.0,-50.0,inox_box,novel_background_dim,
P0072,5,575.0,-100.0,50.0,inox_box,novel_background_dim,metal_box
