pose_id,card_id,x_mm,y_mm,yaw_deg,class_hint,condition
P0001,2,570.0,-160.0,-11.0,carton,
P0002,16,440.0,160.0,64.5,plastic_box,
P0003,2,570.0,-160.0,-73.0,wood_box,
P0004,14,830.0,53.3,85.6,metal_box,
P0005,15,960.0,53.3,51.5,carton,
P0006,16,440.0,160.0,-66.9,plastic_box,
P0007,17,570.0,160.0,-23.3,wood_box,
P0008,10,960.0,-53.3,76.8,metal_box,
P0009,16,440.0,160.0,58.1,carton,
P0010,13,700.0,53.3,-10.2,plastic_box,
P0011,10,960.0,-53.3,9.8,wood_box,
P0012,5,960.0,-160.0,-78.5,metal_box,
P0013,18,700.0,160.0,23.7,carton,
P0014,17,570.0,160.0,46.5,plastic_box,
P0015,15,960.0,53.3,84.7,wood_box,
P0016,8,700.0,-53.3,70.8,metal_box,
P0017,14,830.0,53.3,-55.0,carton,
P0018,16,440.0,160.0,-6.0,plastic_box,
P0019,10,960.0,-53.3,-62.2,wood_box,
P0020,1,440.0,-160.0,32.9,metal_box,
P0021,19,830.0,160.0,84.2,carton,
P0022,15,960.0,53.3,-31.4,plastic_box,
P0023,19,830.0,160.0,-5.5,wood_box,
P0024,8,700.0,-53.3,-55.9,metal_box,
P0025,10,960.0,-53.3,-4.4,carton,
P0026,3,700.0,-160.0,-49.2,plastic_box,
P0027,12,570.0,53.3,-11.3,wood_box,
P0028,14,830.0,53.3,59.9,metal_box,
P0029,13,700.0,53.3,-33.8,carton,
P0030,15,960.0,53.3,59.8,plastic_box,
P0031,9,830.0,-53.3,-20.3,wood_box,
P0032,17,570.0,160.0,-38.1,metal_box,
P0033,5,960.0,-160.0,-64.8,carton,
P0034,14,830.0,53.3,-54.0,plastic_box,
P0035,17,570.0,160.0,51.6,wood_box,
P0036,1,440.0,-160.0,29.7,metal_box,
P0037,10,960.0,-53.3,50.5,carton,
P0038,15,960.0,53.3,-7.4,plastic_box,
P0039,11,440.0,53.3,-64.8,wood_box,
P0040,12,570.0,53.3,-69.4,metal_box,
P0041,9,830.0,-53.3,-5.2,carton,
P0042,14,830.0,53.3,11.7,plastic_box,
P0043,2,570.0,-160.0,24.2,wood_box,
P0044,16,440.0,160.0,9.6,metal_box,
P0045,2,570.0,-160.0,-35.3,carton,
P0046,12,570.0,53.3,-84.5,plastic_box,
