pose_id,card_id,x_mm,y_mm,yaw_deg,class_hint,condition,stack_on
P0001,2,575.0,-160.0,-10.0,carton,,plastic_box
P0002,17,575.0,140.0,65.0,plastic_box,,
P0003,2,575.0,-160.0,-75.0,wood_box,,
P0004,15,625.0,80.0,85.0,metal_box,,
P0005,16,525.0,140.0,50.0,inox_box,,
P0006,16,525.0,140.0,-65.0,inox_box,,plastic_box
P0007,18,625.0,140.0,-25.0,inox_box,,
P0008,10,525.0,20.0,75.0,inox_box,,
P0009,17,575.0,140.0,60.0,carton,,
P0010,14,575.0,80.0,-10.0,plastic_box,,
P0011,10,525.0,20.0,10.0,wood_box,,metal_box
P0012,5,575.0,-100.0,-80.0,metal_box,,
P0013,19,525.0,200.0,25.0,inox_box,,
P0014,18,625.0,140.0,45.0,inox_box,,
P0015,15,625.0,80.0,85.0,inox_box,,
P0016,8,575.0,-40.0,70.0,inox_box,,metal_box
P0017,15,625.0,80.0,-55.0,carton,,
P0018,17,575.0,140.0,-5.0,plastic_box,,
P0019,11,575.0,20.0,-60.0,wood_box,,
P0020,1,525.0,-160.0,35.0,metal_box,,
P0021,20,575.0,200.0,85.0,inox_box,,carton
P0022,16,525.0,140.0,-30.0,inox_box,,
P0023,20,575.0,200.0,-5.0,inox_box,,
P0024,8,575.0,-40.0,-55.0,inox_box,,
P0025,10,525.0,20.0,-5.0,carton,,
P0026,3,625.0,-160.0,-50.0,plastic_box,,wood_box
P0027,12,625.0,20.0,-10.0,wood_box,,
P0028,15,625.0,80.0,60.0,metal_box,,
P0029,14,575.0,80.0,-35.0,inox_box,,
P0030,15,625.0,80.0,60.0,inox_box,,
P0031,10,525.0,20.0,-20.0,inox_box,,wood_box
P0032,17,575.0,140.0,-40.0,inox_box,,
P0033,6,625.0,-100.0,-65.0,carton,,
P0034,15,625.0,80.0,-55.0,plastic_box,,
P0035,17,575.0,140.0,50.0,wood_box,,
P0036,1,525.0,-160.0,30.0,metal_box,,inox_box
P0037,10,525.0,20.0,50.0,inox_box,,
P0038,15,625.0,80.0,-5.0,inox_box,,
P0039,11,575.0,20.0,-65.0,inox_box,,
P0040,12,625.0,20.0,-70.0,inox_box,,
P0041,10,525.0,20.0,-5.0,carton,,
P0042,15,625.0,80.0,10.0,plastic_box,,wood_box
P0043,2,575.0,-160.0,25.0,wood_box,,
P0044,17,575.0,140.0,10.0,metal_box,,
P0045,2,575.0,-160.0,-35.0,inox_box,,
P0046,12,625.0,20.0,-85.0,inox_box,,
P0047,8,575.0,-40.0,-50.0,inox_box,,wood_box
P0048,10,525.0,20.0,-15.0,inox_box,,
P0049,21,625.0,200.0,-50.0,carton,,
P0050,18,625.0,140.0,-80.0,plastic_box,,
P0051,18,625.0,140.0,-35.0,wood_box,,
P0052,6,625.0,-100.0,30.0,metal_box,,inox_box
P0053,3,625.0,-160.0,50.0,inox_box,,
P0054,12,625.0,20.0,30.0,inox_box,,
P0055,9,625.0,-40.0,55.0,inox_box,,
P0056,9,625.0,-40.0,-60.0,inox_box,,
P0057,8,575.0,-40.0,-75.0,carton,,plastic_box
P0058,1,525.0,-160.0,40.0,plastic_box,,
P0059,15,625.0,80.0,-60.0,wood_box,,
P0060,10,525.0,20.0,0.0,metal_box,,
P0061,20,575.0,200.0,35.0,inox_box,,
P0062,4,525.0,-100.0,-10.0,inox_box,,plastic_box
P0063,4,525.0,-100.0,-35.0,inox_box,,
P0064,9,625.0,-40.0,25.0,inox_box,,
P0065,13,525.0,80.0,-75.0,carton,,
P0066,8,575.0,-40.0,-70.0,plastic_box,,
P0067,8,575.0,-40.0,75.0,wood_box,,metal_box
P0068,21,625.0,200.0,35.0,metal_box,,
P0069,10,525.0,20.0,85.0,inox_box,,
P0070,6,625.0,-100.0,50.0,inox_box,,
P0071,6,625.0,-100.0,-10.0,inox_box,,
P0072,16,525.0,140.0,-40.0,inox_box,,metal_box
P0073,2,575.0,-160.0,70.0,carton,,
P0074,3,625.0,-160.0,-10.0,plastic_box,,
P0075,15,625.0,80.0,-35.0,wood_box,,
P0076,5,575.0,-100.0,15.0,metal_box,,
P0077,12,625.0,20.0,65.0,inox_box,,carton
P0078,4,525.0,-100.0,45.0,inox_box,,
P0079,11,575.0,20.0,-10.0,inox_box,,
P0080,16,525.0,140.0,25.0,inox_box,,
P0081,3,625.0,-160.0,25.0,carton,,
P0082,13,525.0,80.0,-75.0,plastic_box,,wood_box
P0083,16,525.0,140.0,-85.0,wood_box,,
P0084,9,625.0,-40.0,0.0,metal_box,,
P0085,4,525.0,-100.0,-65.0,inox_box,,
P0086,7,525.0,-40.0,-70.0,inox_box,,
P0087,4,525.0,-100.0,-60.0,inox_box,,wood_box
P0088,13,525.0,80.0,75.0,inox_box,,
P0089,21,625.0,200.0,-30.0,carton,,
P0090,13,525.0,80.0,15.0,plastic_box,,
P0091,7,525.0,-40.0,85.0,wood_box,,
P0092,1,525.0,-160.0,-5.0,metal_box,,inox_box
P0093,10,525.0,20.0,-75.0,inox_box,,
P0094,17,575.0,140.0,0.0,inox_box,,
P0095,15,625.0,80.0,80.0,inox_box,,
P0096,11,575.0,20.0,15.0,inox_box,,
P0097,12,625.0,20.0,-40.0,carton,,plastic_box
P0098,10,525.0,20.0,-30.0,plastic_box,,
P0099,12,625.0,20.0,-10.0,wood_box,,
P0100,11,575.0,20.0,-85.0,metal_box,,
P0101,8,575.0,-40.0,70.0,inox_box,,
P0102,18,625.0,140.0,-65.0,inox_box,,plastic_box
P0103,7,525.0,-40.0,-70.0,inox_box,,
P0104,12,625.0,20.0,30.0,inox_box,,
P0105,3,625.0,-160.0,30.0,carton,,
P0106,6,625.0,-100.0,40.0,plastic_box,,
P0107,20,575.0,200.0,-70.0,wood_box,,metal_box
P0108,17,575.0,140.0,75.0,metal_box,,
P0109,21,625.0,200.0,-85.0,inox_box,,
P0110,5,575.0,-100.0,10.0,inox_box,,
P0111,12,625.0,20.0,60.0,inox_box,,
P0112,8,575.0,-40.0,55.0,inox_box,,metal_box
P0113,21,625.0,200.0,80.0,carton,,
P0114,7,525.0,-40.0,-40.0,plastic_box,,
P0115,14,575.0,80.0,-45.0,wood_box,,
P0116,11,575.0,20.0,80.0,metal_box,,
P0117,4,525.0,-100.0,-80.0,inox_box,,
P0118,4,525.0,-100.0,-10.0,inox_box,,plastic_box
P0119,21,625.0,200.0,70.0,inox_box,,
P0120,21,625.0,200.0,45.0,inox_box,,
P0121,18,625.0,140.0,70.0,carton,,
P0122,19,525.0,200.0,5.0,plastic_box,,
P0123,10,525.0,20.0,50.0,wood_box,,metal_box
P0124,7,525.0,-40.0,30.0,metal_box,,
P0125,9,625.0,-40.0,-75.0,inox_box,,
P0126,8,575.0,-40.0,45.0,inox_box,,
P0127,8,575.0,-40.0,80.0,inox_box,,
P0128,6,625.0,-100.0,-45.0,inox_box,,metal_box
P0129,1,525.0,-160.0,60.0,carton,,
P0130,3,625.0,-160.0,-60.0,plastic_box,,
P0131,16,525.0,140.0,20.0,wood_box,,
P0132,4,525.0,-100.0,65.0,metal_box,,
P0133,1,525.0,-160.0,-35.0,inox_box,,carton
P0134,5,575.0,-100.0,50.0,inox_box,,
P0135,7,525.0,-40.0,0.0,inox_box,,
P0136,21,625.0,200.0,-65.0,inox_box,,
P0137,20,575.0,200.0,-50.0,carton,,
P0138,1,525.0,-160.0,-65.0,plastic_box,,wood_box
P0139,1,525.0,-160.0,-70.0,wood_box,,
P0140,15,625.0,80.0,0.0,metal_box,,
P0141,20,575.0,200.0,15.0,inox_box,,
P0142,15,625.0,80.0,-55.0,inox_box,,
P0143,19,525.0,200.0,40.0,inox_box,,wood_box
P0144,17,575.0,140.0,45.0,inox_box,,
P0145,18,625.0,140.0,-70.0,carton,,
P0146,3,625.0,-160.0,75.0,plastic_box,,
P0147,2,575.0,-160.0,-35.0,wood_box,,
P0148,9,625.0,-40.0,0.0,metal_box,,inox_box
P0149,11,575.0,20.0,80.0,inox_box,,
P0150,14,575.0,80.0,-40.0,inox_box,,
P0151,21,625.0,200.0,-85.0,inox_box,,
P0152,20,575.0,200.0,10.0,inox_box,,
P0153,4,525.0,-100.0,-70.0,carton,,plastic_box
P0154,14,575.0,80.0,-65.0,plastic_box,,
P0155,16,525.0,140.0,85.0,wood_box,,
P0156,9,625.0,-40.0,15.0,metal_box,,
P0157,4,525.0,-100.0,55.0,inox_box,,
P0158,20,575.0,200.0,-5.0,inox_box,,plastic_box
P0159,14,575.0,80.0,-85.0,inox_box,,
P0160,17,575.0,140.0,-70.0,inox_box,,
P0161,7,525.0,-40.0,55.0,carton,,
P0162,18,625.0,140.0,-50.0,plastic_box,,
P0163,8,575.0,-40.0,20.0,wood_box,,metal_box
P0164,12,625.0,20.0,65.0,metal_box,,
P0165,16,525.0,140.0,-15.0,inox_box,,
P0166,13,525.0,80.0,-25.0,inox_box,,
P0167,20,575.0,200.0,25.0,inox_box,,
P0168,9,625.0,-40.0,65.0,inox_box,,metal_box
P0169,6,625.0,-100.0,-45.0,carton,,
P0170,10,525.0,20.0,-45.0,plastic_box,,
P0171,21,625.0,200.0,55.0,wood_box,,
P0172,16,525.0,140.0,-70.0,metal_box,,
P0173,19,525.0,200.0,15.0,inox_box,,carton
P0174,2,575.0,-160.0,-65.0,inox_box,,
P0175,5,575.0,-100.0,-35.0,inox_box,,
P0176,18,625.0,140.0,-65.0,inox_box,,
P0177,20,575.0,200.0,-60.0,carton,,
P0178,20,575.0,200.0,-40.0,plastic_box,,wood_box
P0179,13,525.0,80.0,-70.0,wood_box,,
P0180,4,525.0,-100.0,-85.0,metal_box,,
P0181,15,625.0,80.0,-60.0,inox_box,,
P0182,2,575.0,-160.0,-80.0,inox_box,,
P0183,10,525.0,20.0,35.0,inox_box,,wood_box
P0184,13,525.0,80.0,-20.0,inox_box,,
P0185,18,625.0,140.0,0.0,carton,,
P0186,7,525.0,-40.0,70.0,plastic_box,,
P0187,17,575.0,140.0,-80.0,wood_box,,
P0188,18,625.0,140.0,-55.0,metal_box,,
P0189,19,525.0,200.0,-45.0,inox_box,,carton
P0190,5,575.0,-100.0,15.0,inox_box,,
P0191,20,575.0,200.0,-80.0,inox_box,,
P0192,9,625.0,-40.0,-25.0,inox_box,,
P0193,20,575.0,200.0,-70.0,carton,,
P0194,11,575.0,20.0,60.0,plastic_box,,wood_box
P0195,3,625.0,-160.0,75.0,wood_box,,
P0196,2,575.0,-160.0,-70.0,metal_box,,
P0197,18,625.0,140.0,70.0,inox_box,,
P0198,18,625.0,140.0,85.0,inox_box,,
P0199,7,525.0,-40.0,50.0,inox_box,,wood_box
P0200,17,575.0,140.0,25.0,inox_box,,
P0201,13,525.0,80.0,-65.0,carton,,
P0202,17,575.0,140.0,5.0,plastic_box,,
P0203,7,525.0,-40.0,65.0,wood_box,,
P0204,11,575.0,20.0,-5.0,metal_box,,inox_box
P0205,17,575.0,140.0,25.0,inox_box,,
P0206,9,625.0,-40.0,-40.0,inox_box,,
P0207,2,575.0,-160.0,-5.0,inox_box,,
P0208,3,625.0,-160.0,-15.0,inox_box,,
P0209,13,525.0,80.0,-25.0,carton,,plastic_box
P0210,5,575.0,-100.0,-25.0,plastic_box,,
P0211,16,525.0,140.0,-20.0,wood_box,,
P0212,7,525.0,-40.0,35.0,metal_box,,
P0213,5,575.0,-100.0,80.0,inox_box,,
P0214,7,525.0,-40.0,75.0,inox_box,,plastic_box
P0215,18,625.0,140.0,-30.0,inox_box,,
P0216,11,575.0,20.0,5.0,inox_box,,
P0217,21,625.0,200.0,25.0,carton,,
P0218,18,625.0,140.0,55.0,plastic_box,,
P0219,12,625.0,20.0,25.0,wood_box,,metal_box
P0220,12,625.0,20.0,-40.0,metal_box,,
P0221,4,525.0,-100.0,-55.0,inox_box,,
P0222,16,525.0,140.0,35.0,inox_box,,
P0223,11,575.0,20.0,-65.0,inox_box,,
P0224,19,525.0,200.0,20.0,inox_box,,metal_box
P0225,14,575.0,80.0,40.0,carton,,
P0226,2,575.0,-160.0,-75.0,plastic_box,,
P0227,11,575.0,20.0,-65.0,wood_box,,
P0228,20,575.0,200.0,85.0,metal_box,,
P0229,4,525.0,-100.0,15.0,inox_box,,carton
P0230,17,575.0,140.0,50.0,inox_box,,
P0231,21,625.0,200.0,80.0,inox_box,,
P0232,17,575.0,140.0,-45.0,inox_box,,
P0233,16,525.0,140.0,-75.0,carton,,
P0234,13,525.0,80.0,20.0,plastic_box,,wood_box
P0235,4,525.0,-100.0,10.0,wood_box,,
P0236,4,525.0,-100.0,15.0,metal_box,,
P0237,10,525.0,20.0,5.0,inox_box,,
P0238,10,525.0,20.0,50.0,inox_box,,
